 ,Production (Wh)
2022-07-01,12126
2022-07-02,2902
2022-07-03,10138
2022-07-04,2668
2022-07-05,1159
2022-07-06,8749
2022-07-07,4332
2022-07-08,8392
2022-07-09,8306
2022-07-10,12024
2022-07-11,3465
2022-07-12,10295
2022-07-13,17681
2022-07-14,2802
2022-07-15,5493
2022-07-16,2195
2022-07-17,8420
2022-07-18,17803
2022-07-19,17872
2022-07-20,13920
2022-07-21,7768
2022-07-22,10431
2022-07-23,15676
2022-07-24,6947
2022-07-25,13278
2022-07-26,16181
2022-07-27,15287
2022-07-28,956
2022-07-29,13347
2022-07-30,18550
2022-07-31,18698
